temp_C,time_min,mass_loss
33.191,0.33833,-8.45E-03
33.204,0.34,-8.59E-03
33.218,0.34167,-8.63E-03
33.229,0.34333,-8.66E-03
33.244,0.345,-8.69E-03
33.258,0.34667,-8.73E-03
33.273,0.34833,-8.76E-03
33.287,0.35,-8.80E-03
33.302,0.35167,-8.83E-03
33.315,0.35333,-8.97E-03
33.327,0.355,-9.00E-03
33.343,0.35667,-9.04E-03
33.359,0.35833,-9.08E-03
33.373,0.36,-9.12E-03
33.387,0.36167,-9.16E-03
33.405,0.36333,-9.20E-03
33.42,0.365,-9.23E-03
33.432,0.36667,-9.27E-03
33.444,0.36833,-9.30E-03
33.459,0.37,-9.34E-03
33.476,0.37167,-9.37E-03
33.492,0.37333,-9.51E-03
33.506,0.375,-9.55E-03
33.522,0.37667,-9.59E-03
33.536,0.37833,-9.63E-03
33.551,0.38,-9.67E-03
33.567,0.38167,-9.70E-03
33.582,0.38333,-9.74E-03
33.597,0.385,-9.77E-03
33.613,0.38667,-9.80E-03
33.627,0.38833,-9.84E-03
33.641,0.39,-1.01E-02
33.656,0.39167,-1.01E-02
33.671,0.39333,-1.01E-02
33.687,0.395,-1.02E-02
33.701,0.39667,-1.02E-02
33.716,0.39833,-1.02E-02
33.734,0.4,-1.03E-02
33.75,0.40167,-1.03E-02
33.764,0.40333,-1.05E-02
33.781,0.405,-1.05E-02
33.797,0.40667,-1.05E-02
33.812,0.40833,-1.06E-02
33.827,0.41,-1.06E-02
33.844,0.41167,-1.06E-02
33.861,0.41333,-1.08E-02
33.877,0.415,-1.08E-02
33.891,0.41667,-1.08E-02
33.906,0.41833,-1.09E-02
33.921,0.42,-1.09E-02
33.939,0.42167,-1.09E-02
33.955,0.42333,-1.11E-02
33.971,0.425,-1.11E-02
33.989,0.42667,-1.11E-02
34.004,0.42833,-1.12E-02
34.02,0.43,-1.12E-02
34.034,0.43167,-1.12E-02
34.054,0.43333,-1.15E-02
34.069,0.435,-1.15E-02
34.083,0.43667,-1.15E-02
34.099,0.43833,-1.16E-02
34.114,0.44,-1.16E-02
34.13,0.44167,-1.16E-02
34.148,0.44333,-1.18E-02
34.166,0.445,-1.18E-02
34.181,0.44667,-1.19E-02
34.199,0.44833,-1.20E-02
34.215,0.45,-1.20E-02
34.231,0.45167,-1.20E-02
34.248,0.45333,-1.21E-02
34.262,0.455,-1.22E-02
34.277,0.45667,-1.22E-02
34.295,0.45833,-1.22E-02
34.309,0.46,-1.24E-02
34.327,0.46167,-1.25E-02
34.345,0.46333,-1.25E-02
34.36,0.465,-1.25E-02
34.377,0.46667,-1.27E-02
34.395,0.46833,-1.27E-02
34.411,0.47,-1.27E-02
34.43,0.47167,-1.28E-02
34.447,0.47333,-1.29E-02
34.462,0.475,-1.29E-02
34.477,0.47667,-1.29E-02
34.495,0.47833,-1.30E-02
34.511,0.48,-1.31E-02
34.529,0.48167,-1.31E-02
34.544,0.48333,-1.31E-02
34.56,0.485,-1.32E-02
34.577,0.48667,-1.34E-02
34.595,0.48833,-1.34E-02
34.613,0.49,-1.35E-02
34.631,0.49167,-1.35E-02
34.648,0.49333,-1.37E-02
34.665,0.495,-1.38E-02
34.682,0.49667,-1.38E-02
34.699,0.49833,-1.38E-02
34.717,0.5,-1.39E-02
34.735,0.50167,-1.40E-02
34.748,0.50333,-1.40E-02
34.765,0.505,-1.40E-02
34.785,0.50667,-1.44E-02
34.803,0.50833,-1.44E-02
34.821,0.51,-1.44E-02
34.839,0.51167,-1.44E-02
34.856,0.51333,-1.46E-02
34.87,0.515,-1.46E-02
34.888,0.51667,-1.46E-02
34.906,0.51833,-1.46E-02
34.924,0.52,-1.48E-02
34.943,0.52167,-1.48E-02
34.961,0.52333,-1.48E-02
34.979,0.525,-1.49E-02
34.996,0.52667,-1.51E-02
35.014,0.52833,-1.51E-02
35.03,0.53,-1.51E-02
35.048,0.53167,-1.52E-02
35.066,0.53333,-1.54E-02
35.084,0.535,-1.54E-02
35.103,0.53667,-1.55E-02
35.119,0.53833,-1.55E-02
35.137,0.54,-1.56E-02
35.156,0.54167,-1.56E-02
35.171,0.54333,-1.57E-02
35.19,0.545,-1.57E-02
35.209,0.54667,-1.59E-02
35.228,0.54833,-1.59E-02
35.245,0.55,-1.60E-02
35.263,0.55167,-1.60E-02
35.282,0.55333,-1.62E-02
35.3,0.555,-1.63E-02
35.319,0.55667,-1.63E-02
35.337,0.55833,-1.63E-02
35.356,0.56,-1.64E-02
35.375,0.56167,-1.65E-02
35.393,0.56333,-1.65E-02
35.413,0.565,-1.65E-02
35.43,0.56667,-1.68E-02
35.45,0.56833,-1.68E-02
35.466,0.57,-1.68E-02
35.484,0.57167,-1.68E-02
35.502,0.57333,-1.70E-02
35.521,0.575,-1.71E-02
35.541,0.57667,-1.71E-02
35.559,0.57833,-1.71E-02
35.578,0.58,-1.75E-02
35.597,0.58167,-1.75E-02
35.616,0.58333,-1.75E-02
35.634,0.585,-1.75E-02
35.653,0.58667,-1.77E-02
35.67,0.58833,-1.77E-02
35.69,0.59,-1.77E-02
35.708,0.59167,-1.77E-02
35.728,0.59333,-1.80E-02
35.749,0.595,-1.80E-02
35.768,0.59667,-1.80E-02
35.785,0.59833,-1.80E-02
35.804,0.6,-1.83E-02
35.822,0.60167,-1.83E-02
35.841,0.60333,-1.83E-02
35.86,0.605,-1.83E-02
35.879,0.60667,-1.86E-02
35.897,0.60833,-1.86E-02
35.916,0.61,-1.87E-02
35.936,0.61167,-1.87E-02
35.955,0.61333,-1.90E-02
35.977,0.615,-1.90E-02
35.997,0.61667,-1.90E-02
36.015,0.61833,-1.90E-02
36.033,0.62,-1.91E-02
36.049,0.62167,-1.91E-02
36.068,0.62333,-1.93E-02
36.089,0.625,-1.93E-02
36.11,0.62667,-1.94E-02
36.13,0.62833,-1.94E-02
36.149,0.63,-1.97E-02
36.167,0.63167,-1.97E-02
36.185,0.63333,-1.97E-02
36.206,0.635,-1.98E-02
36.225,0.63667,-1.99E-02
36.244,0.63833,-1.99E-02
36.264,0.64,-2.00E-02
36.283,0.64167,-2.01E-02
36.302,0.64333,-2.04E-02
36.325,0.645,-2.04E-02
36.342,0.64667,-2.05E-02
36.361,0.64833,-2.06E-02
36.383,0.65,-2.07E-02
36.402,0.65167,-2.07E-02
36.424,0.65333,-2.08E-02
36.443,0.655,-2.09E-02
36.461,0.65667,-2.11E-02
36.48,0.65833,-2.11E-02
36.5,0.66,-2.12E-02
36.52,0.66167,-2.12E-02
36.54,0.66333,-2.14E-02
36.559,0.665,-2.14E-02
36.58,0.66667,-2.15E-02
36.601,0.66833,-2.15E-02
36.618,0.67,-2.19E-02
36.637,0.67167,-2.19E-02
36.658,0.67333,-2.20E-02
36.681,0.675,-2.20E-02
36.702,0.67667,-2.22E-02
36.72,0.67833,-2.22E-02
36.738,0.68,-2.24E-02
36.761,0.68167,-2.24E-02
36.779,0.68333,-2.26E-02
36.8,0.685,-2.26E-02
36.82,0.68667,-2.28E-02
36.836,0.68833,-2.28E-02
36.856,0.69,-2.31E-02
36.878,0.69167,-2.31E-02
36.901,0.69333,-2.32E-02
36.919,0.695,-2.33E-02
36.94,0.69667,-2.34E-02
36.96,0.69833,-2.34E-02
36.979,0.7,-2.37E-02
37,0.70167,-2.38E-02
37.019,0.70333,-2.39E-02
37.041,0.705,-2.39E-02
37.063,0.70667,-2.42E-02
37.082,0.70833,-2.42E-02
37.103,0.71,-2.44E-02
37.122,0.71167,-2.44E-02
37.142,0.71333,-2.45E-02
37.162,0.715,-2.46E-02
37.181,0.71667,-2.46E-02
37.202,0.71833,-2.46E-02
37.221,0.72,-2.50E-02
37.243,0.72167,-2.50E-02
37.265,0.72333,-2.52E-02
37.282,0.725,-2.52E-02
37.301,0.72667,-2.54E-02
37.324,0.72833,-2.55E-02
37.346,0.73,-2.57E-02
37.367,0.73167,-2.57E-02
37.387,0.73333,-2.58E-02
37.406,0.735,-2.61E-02
37.427,0.73667,-2.61E-02
37.447,0.73833,-2.62E-02
37.466,0.74,-2.63E-02
37.487,0.74167,-2.63E-02
37.507,0.74333,-2.66E-02
37.53,0.745,-2.66E-02
37.55,0.74667,-2.68E-02
37.569,0.74833,-2.69E-02
37.592,0.75,-2.70E-02
37.612,0.75167,-2.70E-02
